task,modality,model_name,prediction_source,n_samples,n_subjects,n_positive,n_negative,AUROC,AUROC_CI_lower,AUROC_CI_upper,AUROC_bootstrap_valid_reps,AUPRC,AUPRC_CI_lower,AUPRC_CI_upper,AUPRC_bootstrap_valid_reps,sensitivity,specificity,accuracy,balanced_accuracy,F1
nonIBD vs IBD,microbiome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,388,105,283,105,0.5249200740366817,0.4018411973740101,0.6511804549454366,1000,0.7546573726414969,0.6406236046299937,0.8599314551064605,1000,0.7208480565371025,0.3333333333333333,0.615979381443299,0.5270906949352179,0.7324955116696589
nonIBD vs IBD,metabolome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,388,105,283,105,0.7899713949183914,0.7078134282343439,0.8603834170028571,1000,0.9174875758186424,0.8651586630696498,0.9553699297252616,1000,0.8056537102473498,0.638095238095238,0.7603092783505154,0.7218744741712939,0.8306010928961749
nonIBD vs IBD,paired_late_fusion,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,388,105,283,105,0.7135116944304223,0.6144735993709372,0.8105537364963952,1000,0.8775620867494259,0.8045753566641258,0.9364772836323698,1000,0.7985865724381626,0.4285714285714285,0.6984536082474226,0.6135790005047955,0.7943760984182777
CD vs nonIBD,microbiome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,286,75,181,105,0.5376479873717444,0.3859888137845371,0.6748543390478668,1000,0.6446998711895557,0.5105521013978002,0.7964601384539675,1000,0.6574585635359116,0.3904761904761905,0.5594405594405595,0.523967377006051,0.6538461538461539
CD vs nonIBD,metabolome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,286,75,181,105,0.8270455143383321,0.7385918780496793,0.8993834338860517,1000,0.8976030305601386,0.8187703600715935,0.9556251622475412,1000,0.8011049723756906,0.6666666666666666,0.7517482517482518,0.7338858195211786,0.8033240997229917
CD vs nonIBD,paired_late_fusion,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,286,75,181,105,0.7315443304393582,0.6127429306453288,0.8376626506820346,1000,0.8224092268614112,0.7027415910268784,0.9165076152579475,1000,0.7679558011049724,0.5047619047619047,0.6713286713286714,0.6363588529334385,0.7473118279569892
UC vs nonIBD,microbiome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,207,56,102,105,0.6026143790849673,0.4597801273234975,0.7314276311038687,1000,0.6275742113535197,0.4234665329142743,0.7991612740866235,1000,0.5882352941176471,0.5428571428571428,0.5652173913043478,0.565546218487395,0.5714285714285714
UC vs nonIBD,metabolome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,207,56,102,105,0.8548085901027077,0.7411302788858886,0.9413755024997266,1000,0.8944515983935917,0.7859923545481055,0.961562432344084,1000,0.7156862745098039,0.9142857142857144,0.8164251207729468,0.8149859943977591,0.7934782608695652
UC vs nonIBD,paired_late_fusion,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,207,56,102,105,0.7987861811391224,0.6634760921912625,0.9037991595218408,1000,0.8468885895137651,0.7056439384974486,0.9376775538239938,1000,0.7254901960784313,0.780952380952381,0.7536231884057971,0.7532212885154062,0.7437185929648241
CD vs UC,microbiome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,283,79,102,181,0.5924601884952876,0.4744751779353228,0.7040418358062102,1000,0.4448658348442616,0.2999922219181902,0.6213822483051736,1000,0.4803921568627451,0.6132596685082873,0.5653710247349824,0.5468259126855162,0.4434389140271493
CD vs UC,metabolome,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,283,79,102,181,0.7687141154804463,0.6710515124589624,0.8520344118006774,1000,0.6502710784432582,0.4920797315465232,0.8056124812344039,1000,0.6274509803921569,0.7734806629834254,0.7208480565371025,0.7004658216877911,0.6183574879227053
CD vs UC,paired_late_fusion,ridge_logistic,locked_stage18D_reused_stage18C_grouped_cv,283,79,102,181,0.7266818329541761,0.6141126729836315,0.8216555651631536,1000,0.6134195943382716,0.4308654867287719,0.7736737086699058,1000,0.5294117647058824,0.7679558011049724,0.6819787985865724,0.6486837829054274,0.5454545454545454
